('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         862397 function calls (838123 primitive calls) in 2.964 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  117/115    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      191    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        6    0.000    0.000    0.000    0.000 connection.py:453(<genexpr>)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
       64    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      199    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
        2    0.000    0.000    0.001    0.000 connection.py:418(request)
      199    0.000    0.000    0.000    0.000 css_types.py:360(__init__)
      282    0.000    0.000    0.000    0.000 element.py:2355(get)
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      404    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      353    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      327    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
  165/162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        2    0.000    0.000    0.949    0.474 client.py:324(begin)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      382    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       58    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x101519800}
      514    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      526    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      277    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
      154    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        5    0.000    0.000    0.000    0.000 url.py:367(parse_url)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        3    0.000    0.000    1.628    0.543 response.py:889(_raw_read)
      342    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    1.628    0.814 response.py:602(__init__)
        3    0.000    0.000    0.000    0.000 queue.py:122(put)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        7    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       45    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
        1    0.000    0.000    2.838    2.838 financial_enhanced.py:7(main)
      553    0.000    0.000    0.000    0.000 typing.py:953(__eq__)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 connection.py:93(_set_socket_options)
      506    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      244    0.000    0.000    0.000    0.000 types.py:192(__init__)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       14    0.000    0.000    0.000    0.000 _deprecation.py:66(_deprecated)
        2    0.000    0.000    0.055    0.028 client.py:213(_read_headers)
      217    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      191    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      169    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        2    0.000    0.000    0.009    0.005 parser.py:1(<module>)
    80/47    0.000    0.000    0.060    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       60    0.000    0.000    0.001    0.000 typing.py:1476(copy_with)
