('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         862734 function calls (838439 primitive calls) in 4.154 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      165    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        9    0.000    0.000    0.001    0.000 cookiejar.py:949(set_ok)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
        2    0.000    0.000    0.002    0.001 parser.py:56(parsestr)
       12    0.000    0.000    0.000    0.000 message.py:529(get_all)
     4225    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
      192    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      3/2    0.000    0.000    3.604    1.802 sessions.py:159(resolve_redirects)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
      333    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
        2    0.000    0.000    0.577    0.289 client.py:213(_read_headers)
      192    0.000    0.000    0.022    0.000 _compiler.py:573(_code)
      499    0.000    0.000    0.000    0.000 enum.py:726(__call__)
      330    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      946    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        2    0.000    0.000    1.065    0.533 client.py:291(_read_status)
        6    0.000    0.000    0.002    0.000 cookiejar.py:1599(make_cookies)
        2    0.000    0.000    1.645    0.823 client.py:324(begin)
      141    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
       43    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
  193/190    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      325    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      408    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      495    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.034    0.034 dammit.py:1(<module>)
  215/178    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:395(freeze)
    165/4    0.000    0.000    0.125    0.031 <frozen importlib._bootstrap_external>:989(exec_module)
      122    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
        5    0.000    0.000    0.001    0.000 request.py:2505(getproxies_environment)
      2/1    0.000    0.000    3.904    3.904 sessions.py:673(send)
        1    0.000    0.000    4.029    4.029 financial.py:6(main)
        2    0.000    0.000    1.647    0.823 connection.py:534(getresponse)
       64    0.000    0.000    0.001    0.000 typing.py:694(Union)
        2    0.000    0.000    1.837    0.918 connectionpool.py:377(_make_request)
       87    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
  772/706    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.001    0.001 packages.py:1(<module>)
      580    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      867    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      646    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      746    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.001    0.000 typing.py:2800(__new__)
      141    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      867    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       70    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
      207    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       58    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
  186/184    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      499    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
       28    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
       43    0.000    0.000    2.058    0.048 response.py:1069(stream)
        9    0.000    0.000    0.000    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      265    0.000    0.000    0.000    0.000 <frozen os>:732(__iter__)
       16    0.000    0.000    0.000    0.000 message.py:494(get)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       69    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
        6    0.000    0.000    0.003    0.001 cookiejar.py:1680(extract_cookies)
        7    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      969    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
